Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,Ct,St,rat,res
Farhad Reza,2006-2011,34,32,189.5,12,1017,22,46.22,5.35,51.7,0,1,13,0,32.55370679,0
Fazle Mahmud,,2,1,3,0,16,0,0,5.33,0,0,0,1,0,16,0
Gazi Ashraf,1986-1990,7,3,8.3,0,33,2,16.5,3.88,25.5,0,0,1,0,11.72727273,0
Gholam Nousher,1986-1990,9,9,68,5,314,5,62.8,4.61,81.6,0,0,0,0,35.53389742,1
Golam Faruq,1986-1990,5,5,31,3,116,2,58,3.74,93,0,0,0,0,23.71401557,0
Habibul Bashar,1995-2007,111,6,29.1,0,142,1,142,4.86,175,0,0,26,0,23.84037559,0
Hannan Sarkar,2002-2004,20,1,0.3,0,13,0,0,26,0,0,0,8,0,13,0
Hasibul Hossain,1995-2004,32,32,229.1,13,1338,29,46.13,5.83,47.4,1,0,6,0,42.79716792,1
Jahangir Alam Talukdar,1990-1990,2,2,7,0,36,0,0,5.14,0,0,0,0,0,18,0
Jahangir Shah,1986-1990,5,5,39,3,172,2,86,4.41,117,0,0,1,0,34.88855098,0
