Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifty,zero,four,six
Elias Sunny,2011-2012,4,4,2,2,1,1,11,18.18,0,0,1,0,0
Enamul Haque,1990-2002,29,26,5,236,32,11.23,479,49.26,0,0,1,18,0
Enamul Haque jnr,2005-2009,10,5,1,12,5,3,19,63.15,0,0,2,0,0
Fahim Muntasir,2001-2002,3,3,1,6,5,3,17,35.29,0,0,1,0,0
Faisal Hossain,2004-2010,6,5,1,43,17,10.75,91,47.25,0,0,1,3,1
Farhad Reza,2006-2011,34,31,6,412,50,16.48,636,64.77,0,1,2,39,8
Faruk Ahmed,1988-1999,7,7,0,105,57,15,273,38.46,0,1,1,6,0
Fazle Mahmud,2018-2018,2,2,0,0,0,0,9,0,0,0,2,0,0
Gazi Ashraf,1986-1990,7,7,0,59,18,8.42,239,24.68,0,0,1,1,0
Gholam Nousher,1986-1990,9,3,2,8,4,8,16,50,0,0,0,0,0
Golam Faruq,1986-1990,5,4,2,44,23,22,104,42.3,0,0,0,0,0
Habibul Bashar,1995-2007,111,105,5,2168,78,21.68,3586,60.45,0,14,18,183,10
Hafizur Rahman,1986-1986,2,1,0,8,8,8,24,33.33,0,0,0,0,0
Hannan Sarkar,2002-2004,20,20,0,383,61,19.15,713,53.71,0,3,2,36,2
Harunur Rashid,1988-1988,2,2,0,0,0,0,17,0,0,0,2,0,0
Hasibul Hossain,1995-2004,32,26,6,172,21,8.6,247,69.63,0,0,3,10,5
Imrul Kayes,2008-2018,78,78,2,2434,144,32.02,3423,71.1,4,16,2,238,37
Jahangir Alam,1997-1999,3,3,0,4,3,1.33,22,18.18,0,0,1,0,0
Jahangir Alam Talukdar,1990-1990,2,1,1,7,7,0,16,43.75,0,0,0,1,0
Jahangir Shah,1986-1990,5,4,2,16,8,8,62,25.8,0,0,1,0,0
Jahurul Islam,2010-2013,14,13,1,270,53,22.5,371,72.77,0,1,2,25,2
Jamaluddin Ahmed,2003-2003,1,1,1,18,18,0,28,64.28,0,0,0,2,0
Javed Omar,1995-2007,59,59,4,1312,85,23.85,2528,51.89,0,10,2,139,5
Jubair Hossain,2014-2015,3,1,0,5,5,5,9,55.55,0,0,0,1,0
Junaid Siddique,2007-2011,54,53,1,1196,100,23,1753,68.22,1,6,6,118,7
Khaled Mahmud,1998-2006,77,72,3,991,50,14.36,1461,67.83,0,1,9,90,7
Khaled Mashud,1995-2006,126,110,27,1818,71,21.9,3315,54.84,0,7,8,124,5
Liton Das,2015-2020,36,36,3,1079,176,32.69,1133,95.23,3,3,4,113,22
Mafizur Rahman,1997-1997,4,4,1,53,16,17.66,104,50.96,0,0,0,3,0
Mahbubul Alam,2009-2009,5,2,0,81,59,40.5,71,114.08,0,1,0,3,4
Mahbubur Rahman,1999-1999,1,1,0,3,3,3,8,37.5,0,0,0,0,0
Mahmudullah,2007-2020,188,163,42,4070,128,33.63,5311,76.63,3,21,8,317,57
Manjural Islam,1999-2003,34,22,13,53,13,5.88,134,39.55,0,0,4,4,0
Manjural Islam Rana,2003-2006,25,21,5,331,63,20.68,668,49.55,0,1,1,21,1
Mashrafe Mortaza,2001-2020,218,156,28,1773,51,13.85,2021,87.72,0,1,15,150,62
Mazharul Haque,2002-2002,1,1,0,3,3,3,18,16.66,0,0,0,0,0
Mehidy Hasan Miraz,2017-2020,41,26,4,393,51,17.86,508,77.36,0,1,0,39,4
Mehrab Hossain,1998-2003,18,18,0,449,101,24.94,763,58.84,1,2,2,48,3
Mehrab Hossain jnr,2006-2009,18,16,0,276,54,17.25,642,42.99,0,1,1,24,0
Minhajul Abedin,1986-1999,27,26,2,453,68,18.87,909,49.83,0,2,3,26,0
Mohammad Ashraful,2001-2013,175,168,13,3468,109,22.37,4946,70.11,3,20,13,354,29
Mohammad Mithun,2014-2020,27,23,3,575,63,28.75,718,80.08,0,5,1,49,14
Mohammad Rafique,1995-2007,123,104,16,1190,77,13.52,1657,71.81,0,2,15,110,29
Mohammad Saifuddin,2017-2020,22,13,4,290,51,32.22,337,86.05,0,2,1,24,6
Mohammad Salim,2003-2003,1,1,0,9,9,9,24,37.5,0,0,0,1,0
Mohammad Sharif,2001-2007,9,9,5,53,13,13.25,102,51.96,0,0,1,1,0
Mominul Haque,2012-2018,28,26,1,557,60,22.28,749,74.36,0,3,1,60,1
Moniruzzaman,2003-2003,2,2,0,1,1,0.5,20,5,0,0,1,0,0
Morshed Ali Khan,1998-1998,3,1,1,2,2,0,4,50,0,0,0,0,0
Mosaddek Hossain,2016-2019,35,30,10,549,52,27.45,633,86.72,0,2,1,53,11
Mosharraf Hossain,2008-2016,5,5,1,26,8,6.5,75,34.66,0,0,0,0,0
Mushfiqur Rahim,2006-2020,218,204,34,6174,144,36.31,7794,79.21,7,38,10,492,82
Mushfiqur Rahman,2000-2004,28,25,3,360,49,16.36,690,52.17,0,0,4,29,1
Mustafizur Rahman,2015-2020,58,27,17,78,18,7.8,136,57.35,0,0,4,9,0
Naeem Islam,2008-2014,59,51,15,975,84,27.08,1473,66.19,0,5,5,84,13
Nafees Iqbal,2003-2005,16,16,0,309,58,19.31,568,54.4,0,2,1,32,2
Naimur Rahman,1995-2002,29,27,2,488,47,19.52,771,63.29,0,0,3,42,5
Nasir Ahmed,1988-1990,7,4,2,25,11,12.5,62,40.32,0,0,0,1,0
Nasir Hossain,2011-2018,65,52,8,1281,100,29.11,1605,79.81,1,6,4,112,15
Nazimuddin,2008-2012,11,11,0,147,47,13.36,237,62.02,0,0,0,18,2
Nazmul Hossain,2004-2012,38,21,13,35,6,4.37,128,27.34,0,0,4,0,0
Najmul Hossain Shanto,2018-2020,5,5,0,55,29,11,93,59.13,0,0,0,2,2
Nazmul Islam,2018-2018,5,1,0,7,7,7,13,53.84,0,0,0,0,0
Neeyamur Rashid,1999-1999,2,2,1,5,4,5,5,100,0,0,0,0,0
Nurul Abedin,1986-1990,4,4,0,15,13,3.75,55,27.27,0,0,2,0,0
Nurul Hasan,2016-2016,2,2,0,68,44,34,70,97.14,0,0,0,4,2
Rafiqul Alam,1986-1986,2,2,0,24,14,12,63,38.09,0,0,0,0,0
Rafiqul Islam,2002-2002,1,1,0,0,0,0,5,0,0,0,1,0,0
Rajin Saleh,2003-2006,43,43,1,1005,108,23.92,1833,54.82,1,6,5,94,3
Raqibul Hasan,1986-1986,2,2,0,17,12,8.5,65,26.15,0,0,0,0,0
Raqibul Hasan,2008-2011,55,54,7,1308,89,27.82,2133,61.32,0,8,6,102,8
Robiul Islam,2013-2013,3,1,1,0,0,0,1,0,0,0,0,0,0
Rubel Hossain,2009-2019,101,52,24,140,17,5,249,56.22,0,0,11,14,2
Sabbir Rahman,2014-2019,66,59,7,1333,102,25.63,1461,91.23,1,6,5,153,24
Saiful Islam,1990-1997,7,4,2,37,22,18.5,59,62.71,0,0,0,3,0
Sajjad Ahmed,1995-1995,2,2,0,15,11,7.5,46,32.6,0,0,0,0,0
Samiur Rahman,1986-1986,2,2,0,4,4,2,7,57.14,0,0,1,0,0
Sanwar Hossain,1998-2003,27,27,2,290,52,11.6,597,48.57,0,1,2,23,0
Shafiuddin Ahmed,1997-2000,11,10,6,22,11,5.5,66,33.33,0,0,3,1,0
Shafiul Islam,2010-2020,60,34,12,134,24,6.09,240,55.83,0,0,9,13,2
Shahadat Hossain,2006-2013,51,27,17,79,16,7.9,151,52.31,0,0,3,7,1
Shaheedur Rahman,1986-1986,2,2,0,62,37,31,108,57.4,0,0,0,0,0
Shahriar Hossain,1997-2004,20,19,0,362,95,19.05,682,53.07,0,2,4,36,0
Shahriar Nafees,2005-2011,75,75,5,2201,123,31.44,3167,69.49,4,13,11,277,7
Shamsur Rahman,2013-2014,10,10,0,266,96,26.6,350,76,0,2,2,23,9
Shakib Al Hasan,2006-2019,206,194,27,6323,134,37.86,7641,82.75,9,47,10,574,42
Shariful Haque,1998-1998,1,1,0,10,10,10,6,166.66,0,0,0,0,1
Sheikh Salahuddin,1997-1997,6,5,3,24,12,12,136,17.64,0,0,0,0,0
Shuvagata Hom,2011-2011,4,3,1,70,35,35,86,81.39,0,0,0,9,0
Sohag Gazi,2012-2014,20,16,4,184,30,15.33,213,86.38,0,0,0,18,4
Sohrawordi Shuvo,2010-2011,17,10,3,98,20,14,135,72.59,0,0,0,9,1
Soumya Sarkar,2014-2019,55,54,3,1728,127,33.88,1753,98.57,2,11,5,200,42
Subashis Roy,2016-2016,1,1,1,1,1,0,9,11.11,0,0,0,0,0
Sunzamul Islam,2017-2018,3,1,0,19,19,19,24,79.16,0,0,0,3,0
Syed Rasel,2005-2010,52,27,11,81,15,5.06,185,43.78,0,0,5,7,0
Taijul Islam,2014-2020,9,5,1,63,39,15.75,78,80.76,0,0,1,7,1
Talha Jubair,2002-2003,6,5,3,5,4,2.5,15,33.33,0,0,2,1,0
Tamim Iqbal,2007-2020,207,205,9,7202,158,36.74,9153,78.68,13,47,18,783,91
Tanbir Hayder,2016-2016,2,2,0,5,3,2.5,16,31.25,0,0,0,0,0
Tapash Baisya,2002-2007,56,41,13,336,35,12,576,58.33,0,0,4,26,4
Tareq Aziz,2002-2004,10,8,7,26,11,26,73,35.61,0,0,1,2,0
Taskin Ahmed,2014-2017,32,16,6,41,14,4.1,99,41.41,0,0,3,2,0
Tushar Imran,2001-2007,41,40,0,574,65,14.35,970,59.17,0,2,8,67,1
Zahid Razzak,1988-1990,3,3,0,14,6,4.66,44,31.81,0,0,0,0,0
Zakir Hossain,1998-1998,1,1,0,0,0,0,1,0,0,0,1,0,0
Ziaur Rahman,2013-2014,13,11,0,124,41,11.27,110,112.72,0,0,3,13,6
